elevation_deg,v_rel_kmps,modulation,n_nodes,PER_pct,RSSI_dBm,SNR_dB,distance_km,kappa,doppler_hz,visibility_window_s,toa_s,max_packets_in_window,n_mc_draws,source
5,7.8,SF12,150000,100.0,-128.9002,-11.8921,2740.65,1.24,22568.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,7.8,DR8,1000,0.0001,-128.7418,12.3512,2740.65,1.24,22568.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,7.8,DR8,10000,0.1916,-128.7188,12.3743,2740.65,1.24,22568.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,7.8,DR8,50000,13.9463,-128.9192,12.1738,2740.65,1.24,22568.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,7.8,DR8,100000,53.3983,-128.7323,12.3607,2740.65,1.24,22568.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,7.8,DR8,150000,82.7428,-129.0228,12.0702,2740.65,1.24,22568.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,7.8,DR9,1000,0.0024,-129.0319,12.0611,2740.65,1.24,22568.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,7.8,DR9,10000,1.1235,-128.8603,12.2328,2740.65,1.24,22568.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,7.8,DR9,50000,21.4406,-128.869,12.2241,2740.65,1.24,22568.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,7.8,DR9,100000,53.5892,-128.9582,12.1348,2740.65,1.24,22568.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,7.8,DR9,150000,76.0514,-128.9012,12.1918,2740.65,1.24,22568.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,10.0,SF7,1000,100.0,-128.8687,-11.8606,2740.65,1.24,28933.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,10.0,SF7,10000,100.0,-128.5852,-11.5771,2740.65,1.24,28933.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,10.0,SF7,50000,100.0,-129.0534,-12.0453,2740.65,1.24,28933.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,10.0,SF7,100000,100.0,-128.7109,-11.7027,2740.65,1.24,28933.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,10.0,SF7,150000,100.0,-128.9343,-11.9262,2740.65,1.24,28933.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,10.0,SF8,1000,100.0,-128.9289,-11.9208,2740.65,1.24,28933.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,10.0,SF8,10000,100.0,-128.8494,-11.8413,2740.65,1.24,28933.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,10.0,SF8,50000,100.0,-128.8162,-11.8081,2740.65,1.24,28933.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,10.0,SF8,100000,100.0,-128.8672,-11.8591,2740.65,1.24,28933.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,10.0,SF8,150000,100.0,-129.0077,-11.9996,2740.65,1.24,28933.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,10.0,SF9,1000,100.0,-128.5988,-11.5906,2740.65,1.24,28933.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,10.0,SF9,10000,100.0,-128.6665,-11.6584,2740.65,1.24,28933.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,10.0,SF9,50000,100.0,-129.1164,-12.1082,2740.65,1.24,28933.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,10.0,SF9,100000,100.0,-128.7858,-11.7777,2740.65,1.24,28933.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,10.0,SF9,150000,100.0,-128.6748,-11.6667,2740.65,1.24,28933.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,10.0,SF10,1000,100.0,-128.7821,-11.774,2740.65,1.24,28933.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,10.0,SF10,10000,100.0,-128.7669,-11.7588,2740.65,1.24,28933.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,10.0,SF10,50000,100.0,-129.1913,-12.1832,2740.65,1.24,28933.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
