elevation_deg,v_rel_kmps,n_nodes,modulation,PER_pct,distance_km,kappa,doppler_hz,doppler_rate_hz,visibility_window_s,RSSI_dBm,SNR_dB,toa_s,max_packets_in_window
5,6.0,100000,SF12,99.57555178268252,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-133.0234214850879,-15.99252161516848,0.991232,479
5,6.0,100000,SF7,98.5981308411215,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-132.8012308764816,-15.770331006562175,0.0412159999999999,11528
5,6.0,100000,SF8,91.51459854014598,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-133.26713059549115,-16.23623072557173,0.072192,6582
5,6.0,100000,SF9,87.65432098765432,2053.0875813711195,1.24,20206.534898095848,5.358041819812354,475.1402757671055,-132.9382963314618,-15.907396461542346,0.144384,3291
5,6.5,10000,DR8,0.0,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-131.97647371670243,9.139328063270437,1.324766,387
5,6.5,10000,DR9,0.5434782608695676,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-133.31718488716558,7.798616892807304,0.779094,658
5,6.5,10000,SF10,59.905660377358494,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-133.18056454901895,-16.14966467909952,0.288768,1775
5,6.5,10000,SF11,55.11363636363637,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-132.49319176362943,-15.462291893709978,0.577536,887
5,6.5,10000,SF12,47.05882352941176,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-133.3141936258203,-16.28329375590087,0.991232,517
5,6.5,10000,SF7,97.32620320855617,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-133.0120646241565,-15.981164754237058,0.041216,12436
5,6.5,10000,SF8,86.59217877094973,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-132.84108599933512,-15.810186129415683,0.072192,7100
5,6.5,10000,SF9,75.84541062801932,2057.6510010098737,1.24,20296.563252240885,3.872177411209453,512.5585828400634,-134.1589770714819,-17.128077201562473,0.144384,3550
5,6.5,50000,DR8,0.8510638297872353,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-133.4082020463351,7.707599733637782,1.324766,387
5,6.5,50000,DR9,1.8442622950819665,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-133.1145160222027,8.001285757770168,0.779094,659
5,6.5,50000,SF10,77.34753146176186,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-133.31917147011606,-16.288271600196627,0.288768,1778
5,6.5,50000,SF11,87.39669421487604,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-132.99634311951357,-15.965443249594138,0.577536,889
5,6.5,50000,SF12,95.18413597733712,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-132.26553443628828,-15.23463456636884,0.991232,518
5,6.5,50000,SF7,98.81656804733728,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-133.4325036800073,-16.401603810087863,0.041216,12455
5,6.5,50000,SF8,92.01637666325486,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-133.24390596071402,-16.213006090794565,0.072192,7111
5,6.5,50000,SF9,79.23771313941825,2057.0400998015693,1.24,20297.740017859516,3.811035481366244,513.3278041685603,-133.0453425326558,-16.01444266273637,0.144384,3555
5,6.5,100000,DR8,2.503832396525296,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-132.8511612348295,8.264640545143363,1.324766,387
5,6.5,100000,DR9,6.490134994807894,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-132.90975029871618,8.206051481256713,0.779094,658
5,6.5,100000,SF10,89.66223132036848,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-133.30114323004085,-16.270243360121423,0.288768,1777
5,6.5,100000,SF11,96.93408277976494,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-133.11495830695486,-16.084058437035434,0.577536,888
5,6.5,100000,SF12,99.321503131524,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-132.8131068198422,-15.78220694992277,0.991232,518
5,6.5,100000,SF7,98.5363303711448,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-132.88967444030266,-15.858774570383227,0.041216,12447
5,6.5,100000,SF8,93.71671991480298,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-133.02334431464192,-15.992444444722468,0.072192,7106
5,6.5,100000,SF9,85.44140423335054,2057.5788274364063,1.24,20297.44084965933,3.8320051957361447,513.020341524752,-132.89349625360845,-15.862596383689,0.144384,3553
5,7.0,10000,DR8,0.4784688995215336,2056.89350156981,1.24,20353.710485103064,2.8109462364860205,546.5739110078046,-132.33510036016165,8.780701419811225,1.324766,413
5,7.0,10000,DR9,0.5016722408026753,2056.89350156981,1.24,20353.710485103064,2.8109462364860205,546.5739110078046,-133.4636722074281,7.652129572544804,0.779094,702
5,7.0,10000,SF10,55.57432432432432,2056.89350156981,1.24,20353.710485103064,2.8109462364860205,546.5739110078046,-133.17980454390766,-16.148904673988227,0.288768,1893
